Geographic Area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,301393632,304177401,306656290,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
Northeast,54868196,55049539,55242435,55388349,55642659,55860261,56047732,56203078,56296628,56359360,56470581
Midwest,66344701,66572128,66770813,66973360,67141501,67318295,67534451,67720120,67839187,67978168,68179351
South,110479851,111929667,113185196,114869241,116060993,117291728,118422269,119699966,121081238,122423457,123658624
West,69700884,70626067,71457846,72107471,72799127,73522988,74230053,74999361,75822786,76644950,77410622
Alabama,4634063,4673889,4707496,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747
Alaska,679893,685532,694690,714015,722259,730825,736760,736759,737979,741522,739795
Arizona,6360238,6499207,6587653,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
Arkansas,2841595,2867099,2887331,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279
California,36185908,36538008,36887615,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653
Colorado,4837229,4928676,5015155,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154
Connecticut,3488084,3502664,3514826,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184
Delaware,865314,876794,884124,899712,907884,916868,925114,934805,944107,952698,961939
District of Columbia,585916,589929,599975,605040,620336,635630,650114,660797,672736,684336,693972
Florida,18262096,18410241,18509936,18846461,19097369,19341327,19584927,19897747,20268567,20656589,20984400
Georgia,9526642,9690277,9813588,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379
Hawaii,1269796,1280001,1288285,1363817,1378323,1392772,1408038,1417710,1426320,1428683,1427538
Idaho,1498390,1526295,1544465,1570912,1583180,1594673,1610187,1630391,1649324,1680026,1716943
Illinois,12775864,12836402,12893278,12841196,12862298,12878494,12890403,12882438,12862051,12835726,12802023
Indiana,6344771,6386601,6417276,6490029,6515358,6535665,6567484,6593182,6610596,6634007,6666818
Iowa,2979867,2994658,3008331,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711
Kansas,2773740,2795257,2817430,2858403,2868756,2885316,2892900,2899553,2905789,2907731,2913123
Kentucky,4254513,4287259,4312268,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189
Louisiana,4373448,4448806,4489490,4544871,4574388,4602681,4626795,4648797,4671211,4686157,4684333
Maine,1315749,1318133,1315889,1327568,1327968,1328101,1327975,1328903,1327787,1330232,1335907
Maryland,5627211,5650870,5688399,5788099,5843115,5891680,5932654,5970245,6000561,6024752,6052177
Massachusetts,6499672,6544089,6592205,6564943,6612178,6659627,6711138,6757925,6794002,6823721,6859819
Michigan,10051145,9999456,9955260,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311
Minnesota,5191267,5230247,5262824,5310711,5345967,5377695,5416074,5452649,5483238,5525050,5576606
Mississippi,2920312,2939234,2949943,2970437,2977452,2982963,2987721,2988578,2985297,2985415,2984100
Missouri,5905750,5951844,5982234,5995681,6010280,6023267,6041142,6058014,6072640,6091176,6113532
Montana,957123,967717,974163,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493
Nebraska,1768745,1780143,1794852,1829956,1841641,1854862,1867414,1880920,1893564,1907603,1920076
Nevada,2564816,2612460,2638588,2702797,2718170,2752410,2786547,2831730,2883057,2939254,2998039
New Hampshire,1316496,1320981,1322181,1316700,1318345,1320923,1322622,1328684,1330134,1335015,1342795
New Jersey,8630810,8657319,8693723,8803708,8844694,8882095,8913735,8943010,8960001,8978416,9005644
New Mexico,1966357,1984179,2007315,2064607,2077744,2083590,2085161,2083207,2082264,2085432,2088070
New York,19419540,19464482,19522612,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399
North Carolina,9047856,9230086,9357107,9574247,9662940,9755299,9849812,9941160,10041769,10156689,10273419
North Dakota,637534,640525,645903,674518,684830,701380,722908,738658,754859,755548,755393
Ohio,11518989,11526691,11531860,11539282,11543332,11546969,11567845,11593741,11606027,11622554,11658609
Oklahoma,3608759,3640241,3685640,3759529,3785232,3815298,3849840,3875008,3904353,3921207,3930864
Oregon,3730833,3780596,3823058,3837073,3865845,3893920,3919664,3960673,4016537,4085989,4142776
Pennsylvania,12517701,12562536,12602112,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537
Rhode Island,1059706,1058368,1057451,1053169,1052154,1052761,1052784,1054782,1055916,1057566,1059639
South Carolina,4417059,4497746,4554258,4635834,4672744,4719009,4765862,4824758,4892423,4959822,5024369
South Dakota,795521,803047,810814,816227,823338,832576,842513,849455,854036,861542,869666
Tennessee,6172788,6239542,6291220,6355882,6396281,6450632,6490795,6540007,6590726,6649404,6715984
Texas,23824518,24290611,24770651,25241648,25644424,26078327,26479279,26954436,27454880,27904862,28304596
Utah,2662908,2724685,2780871,2775260,2815430,2854222,2899961,2938671,2984917,3044321,3101833
Vermont,620438,620967,621436,625842,626210,625606,626044,625665,624455,623354,623657
Virginia,7705466,7780691,7862480,8025206,8107548,8188656,8261689,8316902,8366767,8414380,8470020
Washington,6464167,6566085,6671597,6741386,6819155,6890899,6963410,7046931,7152818,7280934,7405743
West Virginia,1812295,1816352,1821290,1854315,1854891,1855360,1852333,1847624,1839767,1828637,1815857
Wisconsin,5601508,5627257,5650751,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5795483
Wyoming,523226,532626,544391,564376,567602,576608,582341,583334,586102,584910,579315
